Orginal,Year,Category,Order,People,Films,Original
8,1953,日本映画大賞,0,,にごりえ,
8,1953,監督賞,1,今井正,にごりえ,監督賞	今井 正「にごりえ」新世紀　文学座
8,1953,脚本賞,2,木下恵介,"日本の悲劇,まごころ,恋文",脚本賞	木下恵介「日本の悲劇」松竹、「まごころ」松竹、「恋文」新東宝
8,1953,男優主演賞,3,上原謙,"妻,夫婦",男優主演賞	上原 謙「妻」東宝、「夫婦」東宝
8,1953,女優主演賞,4,望月優子,日本の悲劇,女優主演賞	望月優子「日本の悲劇」松竹
8,1953,男優助演賞,5,芥川比呂志,煙突の見える場所,男優助演賞	芥川比呂志「煙突の見える場所」新東宝　エイトプロ
8,1953,女優助演賞,6,杉村春子,"にごりえ,東京物語",女優助演賞	杉村春子「にごりえ」新世紀　文学座、「東京物語」松竹
8,1953,撮影賞,7,宮島義勇,"夜明け前,蟹工船",撮影賞	宮島義勇「夜明け前」新東宝　近代映画協会、「蟹工船」現代ぷろ
8,1953,美術賞,8,伊藤熹朔,"雁,雨月物語",美術賞	伊藤熹朔「雁」大映、「雨月物語」大映
8,1953,音楽賞,9,芥川也寸志,煙突の見える場所,音楽賞	芥川也寸志「煙突の見える場所」新東宝　エイトプロ
8,1953,録音賞,10,大谷巌,雨月物語,録音賞	大谷 巌「雨月物語」大映
8,1953,教育文化映画賞,11,,,教育文化映画賞	「真空の世界」日映科学映画製作所「雪ふみ」ヴィディオ映画製作所
8,1953,ニュース映画賞,12,,,ニュース映画賞	朝日ニュース「防衛体制強化へ」を含む第431号日本映画新社
9,1954,日本映画大賞,0,,二十四の瞳,
9,1954,監督賞,1,木下恵介,"二十四の瞳,女の園",監督賞	木下恵介「二十四の瞳」松竹、「女の園」松竹
9,1954,脚本賞,2,木下恵介,"二十四の瞳,女の園",脚本賞	木下恵介「二十四の瞳」松竹、「女の園」松竹
9,1954,男優主演賞,3,山村聡,"山の音,黒い潮",男優主演賞	山村 聡「山の音」東宝、「黒い潮」日活
9,1954,女優主演賞,4,高峰秀子,"二十四の瞳,女の園,この広い空のどこかに,悪の愉しさ",女優主演賞	高峰秀子「二十四の瞳」松竹、「女の園」松竹、「この広い空のどこかに」松竹、「悪の愉しさ」東映
9,1954,男優助演賞,5,宮口精二,七人の侍,男優助演賞	宮口精二「七人の侍」東宝
9,1954,女優助演賞,6,久我美子,"女の園,この広い空のどこかに,悪の愉しさ,億万長者",女優助演賞	久我美子「女の園」松竹、「この広い空のどこかに」松竹、「悪の愉しさ」東映、「億万長者」青年俳優プロ
9,1954,撮影賞,7,小原譲治,"愛と死の谷間,鶏はふたたび鳴く",撮影賞	小原譲治「愛と死の谷間」日活、「鶏はふたたび鳴く」新東宝
9,1954,美術賞,8,木村威夫,"或る女,黒い潮",美術賞	木村威夫「或る女」大映、「黒い潮」日活
9,1954,音楽賞,9,木下忠司,"女の園,この広い空のどこかに",音楽賞	木下忠司「女の園」松竹、「この広い空のどこかに」松竹
9,1954,録音賞,10,大野久雄,"この広い空のどこかに,女の園,二十四の瞳",録音賞	大野久雄「この広い空のどこかに」松竹、「女の園」松竹、「二十四の瞳」松竹
9,1954,教育文化映画賞,11,,,教育文化映画賞	「蚊」岩波映画製作所「佐久間ダム」岩波映画製作所
9,1954,ニュース映画賞,12,,,ニュース映画賞	毎日世界ニュース第145号特報「衆院大乱闘事件」新理研映画社
10,1955,日本映画大賞,0,,浮雲,
10,1955,監督賞,1,成瀬巳喜男,浮雲,監督賞	成瀬巳喜男「浮雲」東宝
10,1955,脚本賞,2,八住利雄,"夫婦善哉,浮草日記,渡り鳥いつ帰る",脚本賞	八住利雄「夫婦善哉」東宝、「浮草日記」山本プロ　俳優座、「渡り鳥いつ帰る」東京映画
10,1955,男優主演賞,3,森繁久弥,"夫婦善哉,渡り鳥いつ帰る,警察日記,人生とんぼ返り",男優主演賞	森繁久弥「夫婦善哉」東宝、「渡り鳥いつ帰る」東京映画、「警察日記」日活、「人生とんぼ返り」日活
10,1955,女優主演賞,4,高峰秀子,浮雲,女優主演賞	高峰秀子「浮雲」東宝
10,1955,男優助演賞,5,小林桂樹,ここに泉あり,男優助演賞	小林桂樹「ここに泉あり」中央映画
10,1955,女優助演賞,6,左幸子,"おふくろ,人生とんぼ返り",女優助演賞	左 幸子「おふくろ」日活、「人生とんぼ返り」日活
10,1955,撮影賞,7,楠田浩之,"野菊の如き君なりき,遠い雲",撮影賞	楠田浩之「野菊の如き君なりき」松竹、「遠い雲」松竹
10,1955,美術賞,8,伊藤寿一,たそがれ酒場,美術賞	伊藤寿一「たそがれ酒場」新東宝
10,1955,音楽賞,9,中央映画,ここに泉あり,音楽賞	中央映画「ここに泉あり」の企画および製作関係者
10,1955,録音賞,10,下永尚,浮雲,録音賞	下永 尚「浮雲」東宝
10,1955,教育文化映画賞,11,,,教育文化映画賞	「かえるの発生」岩波映画製作所「ひとりの母の記録」岩波映画製作所
10,1955,ニュース映画賞,12,,,ニュース映画賞	朝日ニュース「修学旅行」を含む第511号日本映画新社
11,1956,日本映画大賞,0,,真昼の暗黒,
11,1956,監督賞,1,今井正,真昼の暗黒,監督賞	今井 正「真昼の暗黒」現代ぷろ
11,1956,脚本賞,2,橋本忍,"真昼の暗黒,白扇",脚本賞	橋本 忍「真昼の暗黒」現代ぷろ、「白扇」東映
11,1956,男優主演賞,3,佐田啓二,"あなた買います,台風騒動記",男優主演賞	佐田啓二「あなた買います」松竹、「台風騒動記」山本プロ　まどかグループ
11,1956,女優主演賞,4,山田五十鈴,"流れる,猫と庄造と二人のをんな,母子像",女優主演賞	山田五十鈴「流れる」東宝、「猫と庄造と二人のをんな」東京映画、「母子像」東映
11,1956,男優助演賞,5,東野英治郎,"夜の河,あやに愛しき,夕やけ雲",男優助演賞	東野英治郎「夜の河」大映、「あやに愛しき」劇団民芸、「夕やけ雲」松竹
11,1956,女優助演賞,6,沢村貞子,"赤線地帯,太陽とバラ,現代の欲望,妻の心",女優助演賞	沢村貞子「赤線地帯」大映、「太陽とバラ」松竹、「現代の欲望」東宝、「妻の心」東宝
11,1956,撮影賞,7,三浦光雄,"白夫人の妖恋,猫と庄造と二人のをんな",撮影賞	三浦光雄「白夫人の妖恋」東宝、「猫と庄造と二人のをんな」東京映画
11,1956,美術賞,8,中古智,流れる,美術賞	中古 智「流れる」東宝
11,1956,音楽賞,9,伊福部昭,"ビルマの竪琴,鬼火,真昼の暗黒",音楽賞	伊福部 昭「ビルマの竪琴」日活、「鬼火」東宝、「真昼の暗黒」現代ぷろ
11,1956,録音賞,10,海原幸夫,"新平家物語,義仲をめぐる三人の女,残菊物語,夜の河",録音賞	海原幸夫「新平家物語」大映、「義仲をめぐる三人の女」大映、「残菊物語」大映、「夜の河」大映
11,1956,教育文化映画賞,11,,,教育文化映画賞	「カラコルム」日本映画新社
11,1956,ニュース映画賞,12,,,ニュース映画賞	朝日ニュース「この子らに親を」を含む第522号日本映画新社
11,1956,特別賞,13,,,特別賞	溝口健二映画界への多年の功績 三浦光雄映画界への多年の功績
11,1956,色彩技術賞,14,,,色彩技術賞	日映作品「カラコルム」の色彩技術関係者
12,1957,日本映画大賞,0,,米,
12,1957,監督賞,1,今井正,"米,純愛物語",監督賞	今井 正「米」東映、「純愛物語」東映
12,1957,脚本賞,2,依田義賢,"大阪物語,異母兄弟",脚本賞	依田義賢「大阪物語」大映、「異母兄弟」独立映画
12,1957,男優主演賞,3,三船敏郎,"下町,蜘蛛巣城,どん底",男優主演賞	三船敏郎「下町」東宝、「蜘蛛巣城」東宝、「どん底」東宝
12,1957,女優主演賞,4,高峰秀子,"喜びも悲しみも幾歳月,あらくれ",女優主演賞	高峰秀子「喜びも悲しみも幾歳月」松竹、「あらくれ」東宝
12,1957,男優助演賞,5,三井弘次,"気違い部落,正義派,どん底",男優助演賞	三井弘次「気違い部落」松竹、「正義派」松竹、「どん底」東宝
12,1957,女優助演賞,6,田中絹代,"異母兄弟,女体は哀しく,地上",女優助演賞	田中絹代「異母兄弟」独立映画、「女体は哀しく」宝塚映画、「地上」大映
12,1957,撮影賞,7,長岡博之,"気違い部落,正義派",撮影賞	長岡博之「気違い部落」松竹、「正義派」松竹
12,1957,美術賞,8,村木与四郎,"蜘蛛巣城,どん底",美術賞	村木与四郎「蜘蛛巣城」東宝、「どん底」東宝
12,1957,音楽賞,9,黛敏郎,"幕末太陽伝,気違い部落",音楽賞	黛 敏郎「幕末太陽伝」日活、「気違い部落」松竹
12,1957,録音賞,10,岩田広一,"米,純愛物語",録音賞	岩田広一「米」東映、「純愛物語」東映
12,1957,教育文化映画賞,11,,,教育文化映画賞	「南極大陸」日本映画新社「おふくろのバス旅行」記録映画社「ふくすけ」おとぎプロ
12,1957,ニュース映画賞,12,,,ニュース映画賞	読売国際ニュース「ネズミ村のネズミ騒動」を含む第454号読売映画社
12,1957,特別賞,13,,,特別賞	マキノ光雄映画界への多年の献身と功績 林田重雄日映作品「南極大陸」「黒部峡谷」など長編記録映画に対する意欲とその成果
12,1957,色彩技術賞,14,,,色彩技術賞	大映作品「朱雀門」の宮川一夫を中心とする色彩技術関係者
13,1958,日本映画大賞,0,,楢山節考,
13,1958,監督賞,1,木下恵介,楢山節考,監督賞	木下恵介「楢山節考」松竹
13,1958,脚本賞,2,橋本忍,"張込み,鰯雲,夜の鼓",脚本賞	橋本 忍「張込み」松竹、「鰯雲」東宝、「夜の鼓」現代ぷろ
13,1958,男優主演賞,3,小林桂樹,裸の大将,男優主演賞	小林桂樹「裸の大将」東宝
13,1958,女優主演賞,4,淡島千景,"螢火,鰯雲",女優主演賞	淡島千景「螢火」歌舞伎座プロ、「鰯雲」東宝
13,1958,男優助演賞,5,中村鴈治郎,"炎上,鰯雲",男優助演賞	中村鴈治郎「炎上」大映、「鰯雲」東宝
