kumagai-takuzo,1906,11,3,,,,,true
tomita-nakajiro,1911,11,1,,1990,11,15,
tachibana-masaaki,1925,3,18,,,,,true
nihei-masanari,1940,12,4,,2021,8,21,
hara-setsuko,1920,6,17,,2015,9,5,
oshikawa-shunro,1876,3,21,,1914,11,16,
yashiro-miki,1943,,,,,,,
shirakawa-yumi,1936,10,21,,2016,6,14,
koizumi-hajime,,,,,,,,
nakajima-haruo,1929,1,1,,2017,8,7,
matsumoto-somesho,1903,3,20,,1985,8,12,
miyauchi-kunio,1932,2,16,,2006,11,27,
tono-eijiro,1907,9,17,,1994,9,8,
yamazaki-takashi,1964,6,12,,,,,
ikebe-ryo,1918,2,11,,2010,10,8,
enomoto-kenichi,1904,10,11,,1970,1,7,
omura-senkichi,1922,4,27,,1991,11,24,
oki-shoji,1936,9,27,,2009,11,20,
wakayama-setsuko,1929,6,7,,1985,5,9,
fujiwara-kamatari,1905,1,15,,1985,12,21,
natsuki-yosuke,1936,2,27,,2018,1,14,
suzuki-haruo,1926,10,4,,,,,
ryu-chishu,1904,5,13,,1993,3,16,
kita-takeo,1901,1,9,,1979,9,1,
